workload_nops,threads,lock,iterations,run_idx,time_ms_normalized_to_1m_iters
256,8,ttas,1000000,1,1061.351000
256,8,ttas,1000000,2,1089.431000
256,8,ttas,1000000,3,989.844000
256,8,ttas,1000000,4,917.598000
256,8,ttas,1000000,5,1074.445000
256,8,ttas,1000000,6,821.694000
256,8,pspin,1000000,0,1057.994000
256,8,pspin,1000000,1,1142.502000
256,8,pspin,1000000,2,1043.580000
256,8,pspin,1000000,3,1176.634000
256,8,pspin,1000000,4,1122.518000
256,8,pspin,1000000,5,1104.478000
256,8,pspin,1000000,6,1159.904000
512,1,ttas,400000,0,69.020000
512,1,ttas,400000,1,71.180000
512,1,ttas,400000,2,71.692500
512,1,ttas,400000,3,69.847500
512,1,ttas,400000,4,71.235000
512,1,ttas,400000,5,68.487500
512,1,ttas,400000,6,71.900000
512,1,mcs,400000,0,70.672500
512,1,mcs,400000,1,71.380000
512,1,mcs,400000,2,71.000000
512,1,mcs,400000,3,77.162500
512,1,mcs,400000,4,70.672500
512,1,mcs,400000,5,70.360000
512,1,mcs,400000,6,74.570000
512,1,pspin,400000,0,72.015000
512,1,pspin,400000,1,70.197500
512,1,pspin,400000,2,72.262500
512,1,pspin,400000,3,70.400000
512,1,pspin,400000,4,69.975000
512,1,pspin,400000,5,68.952500
512,1,pspin,400000,6,73.670000
512,2,ttas,400000,0,144.220000
512,2,ttas,400000,1,153.827500
512,2,ttas,400000,2,152.430000
512,2,ttas,400000,3,147.095000
512,2,ttas,400000,4,142.982500
512,2,ttas,400000,5,139.562500
512,2,ttas,400000,6,150.057500
512,2,mcs,400000,0,247.442500
512,2,mcs,400000,1,228.682500
512,2,mcs,400000,2,258.877500
512,2,mcs,400000,3,251.902500
512,2,mcs,400000,4,244.555000
512,2,mcs,400000,5,252.917500
512,2,mcs,400000,6,258.757500
512,2,pspin,400000,0,150.517500
512,2,pspin,400000,1,146.095000
512,2,pspin,400000,2,150.280000
512,2,pspin,400000,3,150.590000
512,2,pspin,400000,4,144.682500
512,2,pspin,400000,5,145.702500
512,2,pspin,400000,6,152.205000
512,4,ttas,400000,0,330.122500
512,4,ttas,400000,1,327.065000
512,4,ttas,400000,2,326.497500
512,4,ttas,400000,3,330.957500
512,4,ttas,400000,4,325.702500
512,4,ttas,400000,5,362.957500
512,4,ttas,400000,6,349.340000
512,4,mcs,400000,0,603.997500
512,4,mcs,400000,1,598.087500
